serviceid,servicecompanyname,servicename,servicedetails
1,Coolant Experts,Oil Change,Detailed inspection of brake system
2,Sunshine Detailing,Transmission Check,Professional coolant system flushing
3,Electro Tune,Oil Change,Scheduled maintenance and inspection
4,Sparkle Wash,Car Wash,Deep cleaning of the vehicle interior
5,XYZ Repairs,Coolant Flush,Professional coolant system flushing
6,Coolant Experts,Electrical System Check,Scheduled maintenance and inspection
7,Express Oil Change,Regular Maintenance,Detailed inspection of brake system
8,Sunshine Detailing,Interior Detailing,Replacement of worn-out brake components
9,Brake Master,Coolant Flush,Professional coolant system flushing
10,Speedy Repairs,Coolant Flush,Detailed inspection of brake system
11,Electro Tune,Car Wash,Detailed inspection of brake system
12,Coolant Experts,Brake Replacement,Quick oil change with minimal waiting time
13,XYZ Repairs,Transmission Check,Check and repair electrical components
14,Speedy Repairs,Brake Replacement,Professional coolant system flushing
15,QuickOil,Transmission Check,Professional coolant system flushing
16,XYZ Repairs,Brake Replacement,Professional coolant system flushing
17,Speedy Repairs,Coolant Flush,Scheduled maintenance and inspection
18,ABC Service Company,Interior Detailing,Quick oil change with minimal waiting time
19,ABC Service Company,Regular Maintenance,Detailed inspection of brake system
20,Brake Master,Oil Change,Exterior and interior cleaning services
21,Brake Master,Express Oil Change,Thorough inspection of transmission components
22,Express Oil Change,Brake Replacement,Scheduled maintenance and inspection
23,Brake Master,Interior Detailing,Check and repair electrical components
24,Speedy Repairs,Oil Change,Check and repair electrical components
25,Sparkle Wash,Regular Maintenance,Detailed inspection of brake system
26,ABC Service Company,Brake Inspection,Fast and efficient oil change service
27,QuickOil,Regular Maintenance,Deep cleaning of the vehicle interior
28,Sunshine Detailing,Brake Replacement,Quick oil change with minimal waiting time
29,Sunshine Detailing,Coolant Flush,Detailed inspection of brake system
30,Express Oil Change,Regular Maintenance,Scheduled maintenance and inspection
31,Electro Tune,Coolant Flush,Detailed inspection of brake system
32,Sparkle Wash,Coolant Flush,Fast and efficient oil change service
33,Express Oil Change,Express Oil Change,Quick oil change with minimal waiting time
34,Speedy Repairs,Transmission Check,Professional coolant system flushing
35,Express Oil Change,Express Oil Change,Scheduled maintenance and inspection
36,Speedy Repairs,Coolant Flush,Fast and efficient oil change service
37,Speedy Repairs,Electrical System Check,Quick oil change with minimal waiting time
38,ABC Service Company,Car Wash,Quick oil change with minimal waiting time
39,Coolant Experts,Express Oil Change,Thorough inspection of transmission components
40,QuickOil,Transmission Check,Scheduled maintenance and inspection
41,Speedy Repairs,Car Wash,Scheduled maintenance and inspection
42,Sunshine Detailing,Express Oil Change,Professional coolant system flushing
43,Brake Master,Oil Change,Scheduled maintenance and inspection
44,QuickOil,Regular Maintenance,Professional coolant system flushing
45,XYZ Repairs,Brake Inspection,Professional coolant system flushing
46,XYZ Repairs,Regular Maintenance,Thorough inspection of transmission components
47,ABC Service Company,Brake Replacement,Professional coolant system flushing
48,Speedy Repairs,Brake Replacement,Replacement of worn-out brake components
49,Coolant Experts,Brake Inspection,Detailed inspection of brake system
50,XYZ Repairs,Interior Detailing,Check and repair electrical components
51,Express Oil Change,Brake Replacement,Replacement of worn-out brake components
52,XYZ Repairs,Express Oil Change,Fast and efficient oil change service
53,QuickOil,Express Oil Change,Detailed inspection of brake system
54,Brake Master,Coolant Flush,Exterior and interior cleaning services
55,Electro Tune,Coolant Flush,Exterior and interior cleaning services
56,Sparkle Wash,Electrical System Check,Thorough inspection of transmission components
57,Speedy Repairs,Coolant Flush,Detailed inspection of brake system
58,ABC Service Company,Car Wash,Quick oil change with minimal waiting time
59,XYZ Repairs,Brake Inspection,Professional coolant system flushing
60,Electro Tune,Brake Inspection,Thorough inspection of transmission components
61,Brake Master,Oil Change,Scheduled maintenance and inspection
62,XYZ Repairs,Brake Inspection,Deep cleaning of the vehicle interior
63,Sparkle Wash,Car Wash,Professional coolant system flushing
64,Electro Tune,Express Oil Change,Fast and efficient oil change service
65,Brake Master,Regular Maintenance,Fast and efficient oil change service
66,ABC Service Company,Car Wash,Replacement of worn-out brake components
67,Sparkle Wash,Coolant Flush,Detailed inspection of brake system
68,Express Oil Change,Transmission Check,Deep cleaning of the vehicle interior
69,Sparkle Wash,Regular Maintenance,Check and repair electrical components
70,Express Oil Change,Oil Change,Check and repair electrical components
71,Express Oil Change,Electrical System Check,Thorough inspection of transmission components
72,Speedy Repairs,Brake Inspection,Fast and efficient oil change service
73,Express Oil Change,Car Wash,Check and repair electrical components
74,XYZ Repairs,Regular Maintenance,Replacement of worn-out brake components
