EstimationId,VehicleID,CurrentTime,Cost
1,9,2023-11-27 00:49:27,$23.93
2,54,2023-10-06 12:13:24,$229.78
3,37,2023-08-31 00:52:04,$71.58
4,59,2023-09-18 03:28:25,$213.63
5,73,2023-07-06 22:17:50,$126.08
6,10,2023-09-19 06:15:34,$172.80
7,61,2023-07-09 21:38:20,$59.71
8,16,2023-07-08 15:45:46,$54.38
9,93,2023-04-10 11:22:06,$81.77
10,78,2023-08-22 02:21:09,$98.91
11,84,2023-03-02 15:31:49,$37.43
12,5,2023-08-31 03:02:38,$173.34
13,12,2023-07-11 20:49:29,$125.02
14,58,2023-01-19 10:56:13,$203.07
15,82,2023-12-27 02:41:05,$199.98
16,77,2023-06-05 22:23:14,$246.56
17,33,2023-12-26 21:02:31,$116.35
18,6,2023-08-07 15:31:08,$135.83
19,73,2023-09-25 04:12:06,$57.67
20,60,2023-11-14 07:45:00,$210.29
21,49,2023-09-12 07:48:57,$131.64
22,57,2023-03-22 11:11:07,$50.99
23,82,2023-02-01 16:06:42,$98.52
24,53,2023-08-20 05:18:52,$146.97
25,38,2023-08-26 20:06:19,$165.80
26,66,2023-07-17 15:54:33,$63.01
27,47,2023-09-16 22:23:55,$156.78
28,47,2023-10-03 23:28:34,$166.18
29,16,2023-01-15 04:42:42,$161.32
30,63,2023-05-29 11:08:29,$2.66
